		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 923.031250	M = 472600	N = 8	m = 9	n = 3780800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 1924 1925 1895 1870 1920 1900 1903 1913 8668.931520 0.000000 FAILURE   0
000000011 1380 1389 1364 1345 1385 1416 1385 1395 1894.961373 0.000000 FAILURE   1
000000101 1340 1361 1436 1326 1354 1353 1348 1399 1758.128916 0.000000 FAILURE   2
000000111 1126 1148 1131 1139 1128 1165 1163 1155 441.121509 0.000000 FAILURE   3
000001001 1342 1319 1288 1302 1322 1324 1320 1302 1378.642624 0.000000 FAILURE   4
000001011 1007  992 1033  987  996 1033 1001 1008 65.787788 0.000000 FAILURE   5
000001101  920  909  916  942  949  940  933  959  3.328958 0.912051 SUCCESS   6
000001111 1001  999 1012 1021  993 1018 1019 1029 71.400539 0.000000 FAILURE   7
000010001 1748 1712 1712 1727 1709 1689 1695 1756 5676.957503 0.000000 FAILURE   8
000010011 1283 1232 1220 1283 1256 1275 1240 1252 993.106346 0.000000 FAILURE   9
000010101 1305 1297 1303 1291 1295 1324 1315 1319 1316.785052 0.000000 FAILURE  10
000010111  856  844  875  843  815  878  839  850 51.036046 0.000000 FAILURE  11
000011001 1263 1299 1218 1224 1250 1221 1234 1195 897.449074 0.000000 FAILURE  12
000011011  883  851  894  906  947  882  895  946 12.881301 0.115999 SUCCESS  13
000011101  839  886  866  845  880  866  866  893 30.292168 0.000188 FAILURE  14
000011111  854  838  839  809  857  814  817  876 69.209534 0.000000 FAILURE  15
000100011 1219 1202 1190 1230 1224 1204 1263 1240 802.888496 0.000000 FAILURE  16
000100101 1101 1081 1044 1079 1083 1067 1108 1043 213.480369 0.000000 FAILURE  17
000100111 1119 1068 1135 1131 1104 1174 1070 1116 338.607788 0.000000 FAILURE  18
000101001  849  869  913  889  892  881  911  874 16.738181 0.032954 SUCCESS  19
000101011  924 1001  922  919  920  955  906  930  8.367554 0.398414 SUCCESS  20
000101101  829  835  832  806  857  817  835  842 76.751216 0.000000 FAILURE  21
000101111  852  844  873  897  851  888  843  856 35.618612 0.000021 FAILURE  22
000110011 1171 1178 1176 1153 1166 1154 1187 1124 521.991600 0.000000 FAILURE  23
000110101  840  813  807  831  811  850  865  781 92.289602 0.000000 FAILURE  24
000110111  820  843  831  852  912  823  863  855 54.791163 0.000000 FAILURE  25
000111001  870  926  904  880  882  881  932  926  9.608311 0.293600 SUCCESS  26
000111011  830  834  855  792  826  831  806  838 86.497488 0.000000 FAILURE  27
000111101  913  874  879  898  861  897  844  884 19.458657 0.012590 SUCCESS  28
000111111  866  843  873  849  859  850  836  844 45.826212 0.000000 FAILURE  29
001000011 1094 1105 1118 1084 1119 1113 1132 1116 315.625071 0.000000 FAILURE  30
001000101 1330 1326 1354 1337 1288 1317 1288 1305 1403.663247 0.000000 FAILURE  31
001000111 1014  981  952 1021 1003  958  993  965 40.730186 0.000002 FAILURE  32
001001011  862  845  834  828  865  855  817  836 60.045050 0.000000 FAILURE  33
001001101  881  846  871  880  906  890  905  873 18.454482 0.018066 SUCCESS  34
001001111  908  926  897  902  909  921  884  897  4.209730 0.837722 SUCCESS  35
001010011  754  772  790  783  789  803  797  775 178.011293 0.000000 FAILURE  36
001010101 1313 1292 1249 1295 1316 1297 1311 1276 1235.113329 0.000000 FAILURE  37
001010111  830  898  867  819  803  884  824  827 65.221407 0.000000 FAILURE  38
001011011  721  746  716  726  747  740  731  760 315.758559 0.000000 FAILURE  39
001011101  848  785  874  788  783  823  785  842 112.677767 0.000000 FAILURE  40
001011111  697  747  712  752  697  748  678  725 377.461002 0.000000 FAILURE  41
001100101  823  825  813  794  812  850  854  827 89.669697 0.000000 FAILURE  42
001100111  965  982  969  935  986  936  982  956 18.144993 0.020165 SUCCESS  43
001101011  701  704  716  789  720  777  778  726 314.322542 0.000000 FAILURE  44
001101101  733  743  767  759  745  733  787  821 242.601177 0.000000 FAILURE  45
001101111  758  759  735  743  799  789  769  768 227.495824 0.000000 FAILURE  46
001110101  858  883  888  891  875  856  897  887 18.893817 0.015438 SUCCESS  47
001110111  790  795  778  800  808  794  791  788 152.181965 0.000000 FAILURE  48
001111011  778  773  771  812  775  802  744  771 191.296062 0.000000 FAILURE  49
001111101  717  710  735  723  738  706  708  714 374.799986 0.000000 FAILURE  50
001111111  784  782  793  795  809  815  748  752 176.021221 0.000000 FAILURE  51
010000011  993 1043  985 1013 1026 1013 1000 1008 70.667333 0.000000 FAILURE  52
010000111  947  911  953  917  941  941  929  959  4.066436 0.851080 SUCCESS  53
010001011  983  951  969  983  963  958  974  948 18.074256 0.020677 SUCCESS  54
010001111  958  984  992 1019  981  953  951  947 27.478684 0.000584 FAILURE  55
010010011  881  857  873  847  877  840  893  836 35.746358 0.000020 FAILURE  56
010010111  807  822  838  834  829  861  806  828 83.196484 0.000000 FAILURE  57
010011011  823  829  846  825  811  861  824  845 74.727807 0.000000 FAILURE  58
010011111  711  712  678  710  735  696  705  679 435.793804 0.000000 FAILURE  59
010100011  877  926  923  939  911  917  889  936  4.359186 0.823350 SUCCESS  60
010100111  823  810  808  854  811  804  850  811 95.678991 0.000000 FAILURE  61
010101011 1054 1026 1027 1051 1040 1006 1039 1010 108.156456 0.000000 FAILURE  62
010101111  751  780  775  730  758  759  721  768 255.737540 0.000000 FAILURE  63
010110011  827  832  808  848  818  799  861  864 78.572991 0.000000 FAILURE  64
010110111  722  743  722  715  711  728  731  731 351.033426 0.000000 FAILURE  65
